mon,Friday
7 00,6 40
7 20,7 00
7 40,7 20
8 00,7 40
8 20,8 00
8 40,8 20
9 00,8 40
9 20,9 00
9 40,9 20
10 00,9 40
10 20,10 00
10 40,10 20
11 00,10 40
11 20,11 00
11 40,11 20
12 00,11 40
12 20,12 00
12 40,12 20
13 00,12 40
13 20,13 00
13 40,13 20
14 00,13 40
14 20,14 00
14 40,14 20
15 00,14 40
15 20,15 00
15 40,15 20
16 00,15 40
16 20,16 00
16 40,16 20
17 00,16 40
17 20,17 00
17 40,17 20
18 00,17 40
18 20,18 00
18 40,18 20
19 00,18 40
19 40,19 00
20 20,19 20
21 00,20 00
21 40,20 40
22 20,21 20
23 00,22 00
23 40,22 40
,23 20
