moday,to,Friday
6 45,7 02,7 15
7 15,7 32,7 45
7 45,8 02,8 15
8 15,8 32,8 45
8 45,9 02,9 15
9 15,9 32,9 45
9 45,10 02,10 15
10 15,10 32,10 45
10 45,11 02,11 15
11 15,11 32,11 45
11 45,12 02,12 15
12 15,12 32,12 45
12 45,13 02,13 15
13 15,13 32,13 45
13 45,14 02,14 15
14 15,14 32,14 45
14 45,15 02,15 15
15 15,15 32,15 45
15 45,16 02,16 15
16 15,16 32,16 45
16 45,17 02,17 15
17 15,17 32,17 45
17 45,18 02,18 15
18 15,18 32,18 45
18 45,19 02,19 15
19 15,19 32,19 45
20 15,20 32,20 45
21 15,21 32,21 45
22 15,22 32,22 45
23 15,23 32,23 45
