Monday,to,Friday
6 40,7 00,7 20
7 00,7 20,7 40
7 20,7 40,8 00
7 40,8 00,8 20
8 00,8 20,8 40
8 20,8 40,9 00
8 40,9 00,9 20
9 00,9 20,9 40
9 20,9 40,10 00
9 40,10 00,10 20
10 00,10 20,10 40
10 20,10 40,11 00
10 40,11 00,11 20
11 00,11 20,11 40
11 20,11 40,12 00
11 40,12 00,12 20
12 00,12 20,12 40
12 20,12 40,13 00
12 40,13 00,13 20
13 00,13 20,13 40
13 20,13 40,14 00
13 40,14 00,14 20
14 00,14 20,14 40
14 20,14 40,15 00
14 40,15 00,15 20
15 00,15 20,15 40
15 20,15 40,16 00
15 40,16 00,16 20
16 00,16 20,16 40
16 20,16 40,17 00
16 40,17 00,17 20
17 00,17 20,17 40
17 20,17 40,18 00
17 40,18 00,18 20
18 00,18 20,18 40
18 20,18 40,19 00
18 40,19 00,19 20
19 00,19 20,19 40
19 40,20 00,20 20
20 20,20 40,21 00
21 00,21 20,21 40
21 40,22 00,22 20
22 20,22 40,23 00
23 00,23 20,23 40
23 40,00 00,-
