7 15,7 27,7 44
7 45,7 57,8 14
8 15,8 27,8 44
8 45,8 57,9 14
9 15,9 27,9 44
9 45,9 57,10 14
10 15,10 27,10 44
10 45,10 57,11 14
11 15,11 27,11 44
11 45,11 57,12 14
12 15,12 27,12 44
12 45,12 57,13 14
13 15,13 27,13 44
13 45,13 57,14 14
14 15,14 27,14 44
14 45,14 57,15 14
15 15,15 27,15 44
15 45,15 57,16 14
16 15,16 27,16 44
16 45,16 57,17 14
17 15,17 27,17 44
17 45,17 57,18 14
18 15,18 27,18 44
18 45,18 57,19 14
19 15,19 27,19 44
19 45,19 57,20 14
20 45,20 57,21 14
21 45,21 57,22 14
22 45,22 57,23 14
23 45,23 57,00 14
